ID,Brand,Product,Price
0,OTHER,7 UP IRAQI 24/300 ML," $22,00 "
1,AAHU BARAH,AAHU BARAH BASMATI RICE 40 LBS," $67,00 "
2,AAHU BARAH,AAHU BARAH BASMATI RICE 4/10 LBS," $68,00 "
3,AAHU BARAH,AAHU BARAH BASMATI RICE 2/20 LBS," $67,00 "
4,OTHER,ABIDO CHICKEN SHAWARMA SPICE 11 LBS," $132,00 "
5,OTHER,ABU WALAD SANDWICH BISCUIT 48/110 GR," $28,00 "
6,OTHER,ABU WALED CHEESE 24/400 GR," $179,00 "
7,ADONIS,ADONIS ZAATAR ALEPPO 12/1.5 LB," $72,00 "
8,ADONIS,ADONIS ZAATAR LEBANESE 12/1 LB," $72,00 "
9,ADONIS,ADONIS ZAATAR JORDANIAN 12/1 LB," $72,00 "
10,ADONIS,ADONIS ZAATAR PALESTINIAN 12/1 LB," $72,00 "
11,AHMAD,AHMAD SPECIAL BLEND TEA TIN 12/500 GR (957)," $122,00 "
12,AHMAD,AHMAD SP. BL. EARL GREY TEA BOX 24/454 GR. (1951)," $159,00 "
13,AHMAD,AHMAD GUNPOWDER GREEN TEA 12/500GR (391)," $96,00 "
14,AHMAD,AHMAD GREEN TEA 12/100 TB (478LGT)," $64,00 "
15,AHMAD,AHMAD EARL GREY TEA 24/100 TB (595/24)," $112,00 "
16,AHMAD,AHMAD CEYLON BOX 24/454 GR ( 1950 )," $182,00 "
17,AHMAD,AHMAD CARDAMOM TEA IN TIN 12/500GR (785)," $122,00 "
18,AHMAD,AHMAD CARDAMOM TEA 24/454 GR (1953)," $159,00 "
19,AHMAD,AHMAD CARDAMOM TEA 24/100 TB (592/24)," $112,00 "
20,AHMAD,AHMAD AROMATIC TEA IN TIN 12/500GR (749)," $122,00 "
21,AHMAD,AHMAD AROMATIC EARL GREY TEA BOX 24/454 GR. (1952)," $159,00 "
22,AHMAD,AHMAD TEA OPA CEYLON RED BOX 24/454 GR (126)," $186,00 "
23,AHMAD,AHMAD ENG NO.1 TAGGED 24/100TB (598/24C)," $112,00 "
24,OTHER,AJWA AL MADINA DATES 10/1 KG," $189,00 "
25,AL AFIA,AL AFIA GRAPE LEAVES 12/16 OZ," $93,80 "
26,AL AMEED,AL AMEED COFFEE MED. W/CARDAMOM 20/0.5LB," $132,00 "
27,AL AMEED,AL AMEED TURKISH COFFEE W.CARDAMOM 10/500 GR," $124,00 "
28,OTHER,AL ASEEL SOAP 6/4 PCS," $28,00 "
29,OTHER,AL BADAWY DATE VINEGAR 12/500 GR," $45,00 "
30,AL GHAZAL,AL GHAZAL GHEE 12/1 KG," $88,00 "
31,AL GHAZAL,AL GHAZAL GHEE 8/1.7 kg," $82,00 "
32,AL GHAZALEEN,AL GHAZALEEN TEA 24/100 TB," $132,95 "
33,AL GHAZALEEN,AL GHAZALEEN TEA IN BOX 24/454 GR," $146,95 "
34,AL HALOUB,AL HALOUB BUTTER GHEE IN CAN 12/800 GR," $218,00 "
35,AL HALOUB,AL HALOUB BUTTER GHEE IN CAN 24/400 GR," $240,00 "
36,AL HALOUB,AL HALOUB BUTTER GHEE IN CAN 6/1600 GR," $213,80 "
37,AL HALOUB,AL HALOUB KARISH CHEESE 12/2 LB," $87,00 "
38,AL HALOUB,AL HALOUB CORNED BEEF 24/12 OZ," $94,00 "
39,AL HALOUB,AL HALOUB ROMI CHEESE WHEEL  PER LB," $6,95 "
40,AL HALOUB,AL HALOUB PURE BUTTER GOLD MEDAL HOLLAND 12/800 GR," $290,00 "
41,AL HALOUB,AL HALOUB VEG.GHEE 6/1600 GR," $59,80 "
42,AL HALOUB,AL HALOUB HALAL BEEF & CHICKEN LUNCHEON 24/12 OZ," $84,80 "
43,AL HALOUB,AL HALOUB PURE BUTTER GOLD MEDAL HOLLAND 8/1600 GR," $324,00 "
44,AL HALOUB,AL HALOUB ROMI CHEESE SLICED 24/250 GR," $108,50 "
45,AL HALOUB,AL HALOUB HALAL TURKEY LUNCHEON 24/12 OZ," $94,80 "
46,AL KAMARIA,AL KAMARIA GHEE 12/900 GR," $80,00 "
47,AL KANATER,AL KANATER HALVA SUGAR FREE PLAIN 12/500 GR," $84,95 "
48,AL KANATER,AL KANATER HALVA SUGAR FREE PISTACHIO 12/500 GR," $109,50 "
49,AL KBOUS,AL KBOUS TEA 24/100 TB," $95,00 "
50,AL KBOUS,AL KBOUS TEA LOOSE 20/454 GR," $97,50 "
51,AL KHAR,AL KHAR TAHINI 12/400 GR," $42,00 "
52,AL KHAR,AL KHAR TAHINI 12/800 GR," $72,00 "
53,AL KHAR,AL KHAR HALVAH PISTACHIO 12/800 GR," $79,80 "
54,AL KHAR,AL KHAR HALVAH PLAIN 12/400 GR," $36,00 "
55,AL KHAR,AL KHAR HALVAH PLAIN 12/800 GR," $69,00 "
56,AL KHAR,AL KHAR HALVAH PISTACHIO 12/400 GR," $42,00 "
57,OTHER,AL MADINA DATES 12/ 2 LB," $96,00 "
58,AL MOMTAZ,AL MOMTAZ EVAPORATED MILK 24/400 GR," $49,00 "
59,AL NABEEL,AL NABEEL BUKHOOR  12 PCS," $42,00 "
60,AL QASR,AL QASR SLICED TURNIP PICKLES 12/1000 GR," $36,00 "
61,AL QASR,AL QASR EXTRA VIRGIN OLIVE OIL 4/3 LT," $136,00 "
62,AL QASR,AL QASR WILD CUCUMBER PICKLES 12/600 GR," $33,00 "
63,AL QASR,AL QASR STUFFED EGGPLANT 12/600 GR," $58,50 "
64,AL RAGAWI,AL RAGAWI FENUGREEK HELBA 12/500 GR," $59,85 "
65,AL REEF,AL REEF TUNISIAN GOLDEN DEGLET NOUR DATES W/BRANCH 12/1 KG," $93,60 "
66,AL REEF,AL REEF BEEF SHAWARMA 15/8 OZ," $98,50 "
67,AL REEF,AL REEF BEEF SHAWARMA 30/1 LB," $380,00 "
68,AL REEF,AL REEF CHICKEN SHAWARMA 15/8 OZ," $98,50 "
69,AL REEF,AL REEF CHICKEN SHAWARMA 30/1 LB," $380,00 "
70,AL REEF,AL REEF KIMIA DATES 12/550 GR," $49,00 "
